,area_id,datetime,humidity,temprature
0,Bangkalan,20240611,80,27
1,Bangkalan,20240611,60,32
2,Bangkalan,20240611,75,28
3,Bangkalan,20240611,85,25
4,Bangkalan,20240612,85,26
5,Bangkalan,20240612,65,32
6,Bangkalan,20240612,80,27
7,Bangkalan,20240612,90,25
8,Bangkalan,20240613,90,26
9,Bangkalan,20240613,70,32
10,Bangkalan,20240613,85,26
11,Bangkalan,20240613,90,25
12,Banyuwangi,20240611,80,26
13,Banyuwangi,20240611,60,32
14,Banyuwangi,20240611,80,28
15,Banyuwangi,20240611,85,25
16,Banyuwangi,20240612,85,25
17,Banyuwangi,20240612,65,31
18,Banyuwangi,20240612,85,26
19,Banyuwangi,20240612,90,25
20,Banyuwangi,20240613,90,25
21,Banyuwangi,20240613,75,29
22,Banyuwangi,20240613,85,26
23,Banyuwangi,20240613,90,25
24,Batu,20240611,90,19
25,Batu,20240611,80,29
26,Batu,20240611,90,19
27,Batu,20240611,95,18
28,Batu,20240612,95,18
29,Batu,20240612,80,28
30,Batu,20240612,95,18
31,Batu,20240612,100,18
32,Batu,20240613,100,18
33,Batu,20240613,80,28
34,Batu,20240613,95,20
35,Batu,20240613,100,18
36,Bojonegoro,20240611,80,26
37,Bojonegoro,20240611,60,32
38,Bojonegoro,20240611,75,28
39,Bojonegoro,20240611,85,25
40,Bojonegoro,20240612,85,25
41,Bojonegoro,20240612,65,32
42,Bojonegoro,20240612,90,25
43,Bojonegoro,20240612,95,24
44,Bojonegoro,20240613,95,25
45,Bojonegoro,20240613,65,32
46,Bojonegoro,20240613,85,26
47,Bojonegoro,20240613,95,24
48,Bondowoso,20240611,85,26
49,Bondowoso,20240611,65,31
50,Bondowoso,20240611,80,28
51,Bondowoso,20240611,85,25
52,Bondowoso,20240612,90,25
53,Bondowoso,20240612,65,31
54,Bondowoso,20240612,90,25
55,Bondowoso,20240612,95,23
56,Bondowoso,20240613,85,25
57,Bondowoso,20240613,65,30
58,Bondowoso,20240613,90,25
59,Bondowoso,20240613,90,23
60,Gresik,20240611,80,27
61,Gresik,20240611,60,32
62,Gresik,20240611,75,28
63,Gresik,20240611,85,25
64,Gresik,20240612,85,26
65,Gresik,20240612,65,34
66,Gresik,20240612,80,28
67,Gresik,20240612,90,25
68,Gresik,20240613,95,26
69,Gresik,20240613,70,30
70,Gresik,20240613,85,27
71,Gresik,20240613,90,27
72,Jember,20240611,80,26
73,Jember,20240611,60,32
74,Jember,20240611,80,28
75,Jember,20240611,85,25
76,Jember,20240612,85,25
77,Jember,20240612,65,31
78,Jember,20240612,85,26
79,Jember,20240612,90,25
80,Jember,20240613,95,22
81,Jember,20240613,80,30
82,Jember,20240613,95,22
83,Jember,20240613,95,21
84,Jombang,20240611,80,27
85,Jombang,20240611,60,33
86,Jombang,20240611,75,28
87,Jombang,20240611,85,25
88,Jombang,20240612,85,25
89,Jombang,20240612,65,32
90,Jombang,20240612,95,25
91,Jombang,20240612,90,24
92,Jombang,20240613,95,24
93,Jombang,20240613,65,32
94,Jombang,20240613,95,25
95,Jombang,20240613,95,24
96,Kabupaten Blitar,20240611,85,27
97,Kabupaten Blitar,20240611,65,32
98,Kabupaten Blitar,20240611,80,28
99,Kabupaten Blitar,20240611,85,24
100,Kabupaten Blitar,20240612,85,25
101,Kabupaten Blitar,20240612,65,30
102,Kabupaten Blitar,20240612,90,25
103,Kabupaten Blitar,20240612,95,23
104,Kabupaten Blitar,20240613,90,24
105,Kabupaten Blitar,20240613,70,30
106,Kabupaten Blitar,20240613,90,25
107,Kabupaten Blitar,20240613,95,23
108,Kabupaten Kediri,20240611,85,26
109,Kabupaten Kediri,20240611,65,33
110,Kabupaten Kediri,20240611,80,27
111,Kabupaten Kediri,20240611,85,24
112,Kabupaten Kediri,20240612,85,25
113,Kabupaten Kediri,20240612,65,32
114,Kabupaten Kediri,20240612,90,25
115,Kabupaten Kediri,20240612,95,24
116,Kabupaten Kediri,20240613,95,25
117,Kabupaten Kediri,20240613,60,32
118,Kabupaten Kediri,20240613,90,26
119,Kabupaten Kediri,20240613,90,25
120,Kabupaten Madiun,20240611,85,27
121,Kabupaten Madiun,20240611,65,32
122,Kabupaten Madiun,20240611,85,27
123,Kabupaten Madiun,20240611,85,24
124,Kabupaten Madiun,20240612,90,24
125,Kabupaten Madiun,20240612,65,30
